OBS	A.Inc	Range
4	47.3	2077
4	50.8	2338
4	52.3	2463
4	36.1	1408
4	40.8	1665
4	46	1984
4	46.8	2038
4	51.6	2404
4	49.9	2270
4	56.2	2818
4	57.9	2996
4	48.2	2139
4	52	2437
4	48.9	2192
4	48.6	2167
4	46.3	2005
4	48.3	2145
4	49.6	2246
4	48.8	2186
4	41.7	1714
4	41.9	1728
4	39.9	1613
4	41.4	1696
4	57.8	2988
4	31	1167
4	50.3	2300
4	56.9	2891
4	24.6	889
4	32.3	1224
4	38.7	1545
4	46.6	2027
4	32.6	1237
4	28.4	1049
4	53.6	2573
4	39.8	1609
4	36.5	1431
4	44.5	1884
4	38.2	1520
4	43.5	1822
4	32.1	1217
4	31	1163
4	36.1	1408
4	24.1	866
4	34.4	1325
4	30	1118
4	25.4	921
4	25	906
4	22.4	800
4	21.8	779
4	25.2	912
4	22	784
4	22	787
4	24.3	878
4	22.9	822
4	24.4	880
4	25.2	915
4	25.2	915
4	27.2	997
4	24.8	895
4	21.6	770
4	34.5	1328
4	26.9	982
4	23.5	844
4	26.2	955
4	41.1	1683
4	33.6	1286
4	33.4	1276
4	34	1308
4	30.8	1157
4	35.6	1386
4	36	1405
4	37.2	1466
4	39.4	1583
4	35.8	1394
4	41.6	1710
4	38	1509
4	39.5	1592
4	41.3	1692
4	42.5	1764
4	42.4	1759
4	41.4	1696
4	47.5	2088
4	48.6	2167
4	30.7	1150
4	47.9	2122
4	31	1167
4	54.1	2622
4	55.9	2789
4	54.2	2629
4	54.1	2622
4	55.1	2707
4	35	1354
4	43.1	1803
4	36.4	1423
4	42.9	1788
4	57.1	2913
4	39.5	1588
4	39.8	1605
4	38.4	1528
4	35.4	1375
4	45.2	1931
4	53.4	2559
4	45.8	1974
4	49.9	2270
4	44	1856
4	61.1	3377
4	59.9	3222
4	27.7	1018
4	57.5	2958
4	60.3	3277
4	59.9	3229
4	59.2	3138
4	59.9	3229
4	57.5	2958
4	61.3	3400
4	61.2	3385
4	61.2	3388
4	61.3	3403
4	61.3	3403
4	61.3	3397
4	61	3359
4	60.7	3317
4	60.6	3311
4	60.5	3300
4	60.6	3311
4	60	3236
4	59.8	3215
4	59.9	3229
4	58.1	3017
4	59.4	3166
4	59.2	3145
4	59.6	3194
4	59.9	3222
4	60.5	3294
4	59.7	3208
4	59.9	3222
4	60	3243
4	59.2	3145
4	58.7	3087
4	59.2	3138
4	58.5	3066
4	58.1	3024
4	57.2	2921
4	53.1	2531
4	59.5	3173
4	27	988
4	27.1	994
4	58.5	3059
4	52.2	2456
4	48.7	2179
4	24.1	866
4	24.7	892
4	28.7	1061
4	21.4	762
4	27.6	1015
4	33	1258
10	39	1621
10	42	1797
10	42.5	1829
10	45.7	2041
10	41.7	1778
10	45.4	2019
10	42.2	1811
10	39.6	1656
10	42.2	1811
10	41.4	1764
10	39.4	1643
10	40.4	1704
10	44.2	1939
10	41.6	1773
10	45.6	2035
10	42.7	1839
10	40.7	1722
10	30	1162
10	27	1025
10	38.4	1586
10	31.9	1250
10	31.6	1233
10	33.2	1315
10	35.6	1437
10	26.9	1019
10	48.1	2213
10	44.8	1976
10	50.1	2368
10	41.1	1741
10	36.2	1467
10	35.5	1429
10	33	1304
10	18.6	679
10	20.5	754
10	20.9	771
10	23.8	887
10	24.4	914
10	21.3	788
10	26	982
10	30.5	1186
10	30.7	1192
10	33.2	1311
10	31.1	1213
10	32.2	1264
10	35	1403
10	37.1	1516
10	40.1	1687
10	37.8	1553
10	35.5	1429
10	39	1621
10	37.4	1533
10	35.6	1437
10	37.5	1537
10	32.9	1297
10	31.9	1250
10	44.7	1970
10	43.9	1919
10	50.7	2419
10	46.5	2095
10	44.4	1949
10	41.8	1787
10	41.3	1755
10	41.2	1750
10	38.2	1578
10	36.3	1471
10	34.1	1358
10	33.7	1340
10	33.2	1311
10	34.3	1369
10	32.1	1257
10	32.1	1257
10	31.8	1244
10	28	1069
10	27.3	1038
10	24.2	905
10	22.7	844
10	20.7	762
10	19.9	730
10	18.7	684
10	19.4	711
10	18.4	670
10	18.2	662
10	17.7	644
10	20.7	762
10	20.6	760
10	18.9	689
10	22.9	853
10	21.7	802
10	22.6	838
10	21.8	804
10	21.9	810
10	20.3	746
10	17.8	647
10	19.1	697
10	20.9	771
10	19.3	705
10	21.1	776
10	20.4	749
10	15.8	570
10	18.7	681
10	21	774
10	17.7	644
10	17.6	641
10	20	732
10	20.9	768
10	19.1	697
10	18.4	670
10	16.9	615
10	18.2	665
10	19.1	700
10	31.5	1230
10	34.2	1362
10	39.6	1656
10	39.8	1665
10	41.2	1750
10	39	1621
10	40.9	1732
10	38.1	1570
10	39.3	1638
10	39.6	1656
10	39.7	1660
10	41.3	1755
10	42.7	1839
10	42.5	1829
10	42.9	1854
10	45.2	2003
10	43	1859
10	39.3	1638
10	40.3	1695
10	43.8	1914
10	41.4	1764
10	42.8	1844
10	40.4	1704
10	49.1	2286
10	42.4	1824
10	42.6	1834
10	43.9	1919
10	42.3	1815
10	44.5	1959
10	41	1736
10	50.3	2380
10	44.8	1976
10	44.4	1949
10	47.1	2137
10	45.9	2052
10	46.3	2079
10	48.6	2248
10	46.9	2125
10	41.2	1750
10	42.8	1849
10	41.4	1764
10	47.2	2142
10	47.3	2154
10	44.2	1934
10	48.3	2230
10	26.6	1007
10	46.9	2125
10	49.9	2349
10	48.2	2219
10	43	1859
10	45.2	2008
10	45.6	2035
10	44.8	1976
10	44.2	1934
10	44.5	1959
10	41.9	1792
10	43	1859
10	43.2	1874
10	45.5	2024
10	46.7	2107
10	45.6	2030
10	46	2063
10	46	2063
10	50.1	2368
10	45.9	2052
10	47.2	2142
10	43.7	1904
10	48	2207
10	48.5	2242
10	45.9	2052
10	48.6	2248
10	48.3	2225
10	44	1924
10	46.5	2095
10	45.6	2030
10	45.3	2013
10	47.2	2148
10	47.3	2154
10	49.6	2330
10	49.9	2349
10	49.2	2299
10	50.2	2374
10	33.9	1348
10	10.6	379
10	15.6	565
10	12.3	442
10	11.2	399
10	13.4	483
10	13.1	470
10	12.1	432
10	14	503
10	14	503
10	13.8	498
10	13.4	483
10	13	467
10	13.7	493
10	12.2	437
10	12.5	447
10	14.1	506
10	14.6	526
10	15.1	544
10	16.2	586
10	17.7	644
10	14.7	529
10	19.1	700
10	16	580
10	16.2	586
10	16.3	591
10	17.6	639
10	16.6	601
10	17.5	636
10	18	654
10	19.4	711
10	15.7	567
10	19.1	697
10	33.8	1344
10	34.2	1362
10	36.3	1471
10	31.8	1244
10	13.6	490
10	14.7	531
10	14	503
10	17	618
10	17.8	647
10	20.6	757
10	16.8	609
10	16.3	591
10	17.6	639
10	18.8	687
10	16.9	612
10	18	657
10	17.2	625
10	19.3	705
10	18.1	660
10	19.9	730
10	19.1	700
10	22	816
10	16.7	607
10	17.2	625
10	19.1	697
10	21	774
10	20.2	743
10	21.5	793
10	21	774
10	23.4	870
10	23.1	861
10	21.3	785
10	25.4	955
10	23.4	870
10	22	816
10	23.6	882
10	23.3	867
10	21.7	802
10	21.2	782
10	22.7	844
10	20.5	754
10	22	816
10	25	941
10	22.2	821
10	22.5	832
10	24.1	899
10	24.8	932
10	25.2	947
10	25.4	958
10	24.5	920
10	22.4	830
10	26.2	991
10	24.3	908
10	20.9	771
10	22.3	827
10	23.2	864
10	24.5	917
10	24.7	926
10	25.9	976
10	25.6	964
10	26.6	1010
10	31.6	1237
10	24.8	929
10	21.7	802
10	23.4	870
10	20.8	765
10	23.1	861
10	26.2	991
10	25.6	964
10	23.3	867
10	28.1	1072
10	23.4	873
10	26.4	1000
10	25.7	967
10	28.6	1094
10	24.8	932
10	27.5	1047
10	24.8	929
10	29.7	1146
10	30.3	1172
10	29.8	1153
10	30	1162
10	30.8	1196
10	32.5	1278
10	27.1	1028
10	30.1	1166
10	27.4	1044
10	26.4	1000
10	28.4	1088
10	33.1	1307
10	30	1159
10	32.4	1271
10	32.9	1300
10	34.5	1380
10	31.8	1244
10	35.4	1426
10	32.8	1293
10	27.5	1047
10	35	1403
10	30.9	1203
10	31	1209
10	33.2	1311
10	29.8	1149
10	31.4	1226
10	33.4	1326
10	33	1304
10	31	1206
10	32	1254
10	31.3	1220
10	30.6	1189
